Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
8/12/2025 0:00 ¹.,44,7.833,962.1,160.3,90.4,95.6,0,55.3,0
9/12/2025 1:00 ¹.,42,7.461,950.4,160.9,89.8,95.6,0,55.3,0
9/12/2025 2:00 ¹.,38,6.655,904.5,160.8,89.9,94,0,55.3,0
9/12/2025 3:00 ¹.,38,6.68,908.7,161.7,89.2,93.6,0,54.7,0
9/12/2025 4:00 ¹.,39,6.832,922.8,161.5,89.8,92.2,0,55.7,0
9/12/2025 5:00 ¹.,42,7.579,969.8,162,89.6,90.5,0,55.7,0
9/12/2025 6:00 ¹.,40,7.138,957.8,162.5,88.7,90.5,0,54.4,0
9/12/2025 7:00 ¹.,41,7.454,991.5,162.5,88.7,89.3,0,55.7,0
9/12/2025 8:00 ¹.,41,7.437,1007.5,163.1,88.4,87.1,0,52.9,0
9/12/2025 9:00 ¹.,43,7.721,973,167.1,91.2,95.5,0,52.8,0
9/12/2025 10:00 ¹.,44,7.762,978.8,164.6,89.7,95.4,0,57.8,0
9/12/2025 11:00 ¹.,41,7.267,935.3,165.1,91.6,95.2,0,59.6,0
9/12/2025 12:00 ¹.,43,7.636,968.8,167.6,92.7,95.2,0,59.6,0
9/12/2025 13:00 ¹.,42,7.441,965.8,168.3,91.9,95.3,0,57.6,0
9/12/2025 14:00 ¹.,42,7.343,991.5,169.4,92.3,95.7,0,55.1,0
9/12/2025 15:00 ¹.,38,6.688,947.8,164.8,90.3,95.1,0,54.3,0
9/12/2025 16:00 ¹.,39,6.868,926.1,162.3,89.3,94.5,0,52.1,0
9/12/2025 17:00 ¹.,41,7.347,961.9,160.5,85,94.8,0,51.6,0
9/12/2025 18:00 ¹.,40,7.089,940.1,160,85.9,91.5,0,54,0
9/12/2025 19:00 ¹.,43,7.926,972.1,164,91,93.3,0,57.7,0
9/12/2025 20:00 ¹.,44,7.772,984.8,163.3,89.4,90.3,0,58.2,0
9/12/2025 21:00 ¹.,42,7.611,970.9,163.6,90.7,90.8,0,57.8,0
9/12/2025 22:00 ¹.,43,8.115,999.9,165.7,91.5,95.4,0,56.8,0
9/12/2025 23:00 ¹.,44,8.147,1002.7,166.6,93.3,95.5,0,57,0
9/12/2025 0:00 ¹.,44,8.11,1003.6,167.1,93.2,95.5,0,56.6,0
10/12/2025 1:00 ¹.,44,8.139,996.7,169,94.2,95.5,0,56.7,0
10/12/2025 2:00 ¹.,44,8.108,995.1,166.2,91.2,95.4,0,57.1,0
10/12/2025 3:00 ¹.,45,8.121,1000.3,165.6,91.5,93.9,0,57.3,0
10/12/2025 4:00 ¹.,44,7.875,989.6,166.4,91.7,92.3,0,57,0
10/12/2025 5:00 ¹.,40,7.14,985.4,166.8,92.9,93.5,0,57.8,0
10/12/2025 6:00 ¹.,37,6.593,956.9,164.6,93,93.5,0,58.4,0
10/12/2025 7:00 ¹.,41,7.36,965.6,158.3,91.3,92.1,0,59,0
10/12/2025 8:00 ¹.,41,7.315,951.3,160.3,89.8,91.1,0,59.2,0
10/12/2025 9:00 ¹.,39,6.917,924.4,168.7,94.1,90.6,0,56.2,0
10/12/2025 10:00 ¹.,44,7.762,972,162.4,89,93.9,0,59.5,0
10/12/2025 11:00 ¹.,43,7.447,976.7,162.5,89.2,91.3,0,60.2,0
10/12/2025 12:00 ¹.,42,7.403,965.1,164.1,90.3,93.2,0,60.1,0
